Object Name,ESX Cluster,Datastore
linux-minimal-0286,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0287,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0288,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0289,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0290,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0291,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0292,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0293,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0294,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0295,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0296,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0297,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0298,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0299,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0300,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0301,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0302,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0303,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0304,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0305,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0306,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0307,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0308,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0309,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0310,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0311,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0312,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0313,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0314,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0315,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0316,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0317,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0318,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0319,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0320,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0321,poc01-67-cluster02,PURE-DS1-10TB
